Região,Local,Gênero,"De que cor, ou raça, você se considera?",Idade,Naturalidade,Última cidade,Tempo na Cidade,Tempo de Rua,Escolaridade,Categorização,Caracterização,Tipo de Substância,Documentação,Tem Cadastro Único,Benefício Sócio-assistencial,Benefícios Previdenciários
Norte,Rua,Masculino,Parda,40 à 49 anos,Estado de São Paulo,Estado de São Paulo,3 à 6 Meses,1 à 3 Meses,Ensino Médio Completo,Morador de Rua,NDA,,Sim,Sim,Bolsa Família,
Leste,Rua,Masculino,Branca,40 à 49 anos,São Paulo - Capital,Campinas,1 à 2 Anos,5 à 10 Anos,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,"Álcool, Cocaína",Sim,Não,,
Norte,Rua,,Branca,18 à 24 anos,,Estado de São Paulo,1 dia à 1 Mês,1 dia à 1 Mês,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,Crack,Sim,Não,,
Norte,SAMIM,Masculino,Parda,25 à 39 anos,Estado de São Paulo,Estado de São Paulo,2 à 5 Anos,2 à 5 Anos,Ensino Fundamental Incompleto,Itinerante,Faz Uso de Substância Psicoativa,"Álcool, Tabaco",Sim,Não,,
Norte,Rua,Masculino,Parda,25 à 39 anos,Estado de São Paulo,Estado de São Paulo,1 dia à 1 Mês,1 dia à 1 Mês,Ensino Fundamental Incompleto,Morador de Rua,NDA,,Não,Sim,Bolsa Família,
Norte,SAMIM,Masculino,Parda,Acima de 60 anos,Outro Estado,Estado de São Paulo,1 à 3 Meses,1 à 2 Anos,Ensino Fundamental Incompleto,Morador de Rua,Pessoa Com Deficiência,,Sim,Não,BPC,
Norte,Rua,Masculino,Parda,25 à 39 anos,,Outro Estado,1 dia à 1 Mês,1 dia à 1 Mês,Ensino Fundamental Completo,Morador de Rua,Pessoa Com Deficiência,Álcool,Não,Sim,Bolsa Família,
Leste,Rua,Masculino,Parda,25 à 39 anos,Estado de São Paulo,Estado de São Paulo,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,"Crack, Álcool, Maconha, Cocaína, Tabaco",Sim,Sim,Bolsa Família,
Norte,Rua,,Branca,40 à 49 anos,Campinas,Campinas,Mais de 10 Anos,2 à 5 Anos,Ensino Médio Incompleto,Morador de Mocó,Faz Uso de Substância Psicoativa,"Crack, Álcool",Não,Não,,
Norte,SAMIM,Masculino,Parda,25 à 39 anos,Outro Estado,Outro Estado,6 Meses à 1 Ano,6 Meses à 1 Ano,Não Alfabetizado,Morador de Rua,NDA,Álcool,Sim,Sim,Bolsa Família,
Norte,SAMIM,Masculino,Parda,25 à 39 anos,Estado de São Paulo,Estado de São Paulo,1 dia à 1 Mês,5 à 10 Anos,Ensino Médio Completo,Migrante,Faz Uso de Substância Psicoativa,Álcool,Sim,Sim,Bolsa Família,
Norte,Rua,Masculino,Preta,25 à 39 anos,Estado de São Paulo,Estado de São Paulo,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Completo,Morador de Rua,,Álcool,Sim,Não,,
Norte,SAMIM,Masculino,Branca,25 à 39 anos,Outro Estado,Região Metropolitana de Campinas,1 dia à 1 Mês,6 Meses à 1 Ano,Ensino Superior Completo,Itinerante,Faz Uso de Substância Psicoativa,"Álcool, Tabaco",Sim,Não,,
Norte,,Masculino,Branca,25 à 39 anos,Outro Estado,Outro Estado,1 dia à 1 Mês,1 dia à 1 Mês,Ensino Superior Completo,Morador de Rua,Faz Uso de Substância Psicoativa,"Álcool, Cocaína",Sim,Sim,Bolsa Família,
Sudoeste,,Masculino,,50 à 59 anos,,,,,,,,,,,,
Sul,Rua,Feminino,Parda,25 à 39 anos,Outro Estado,Outro Estado,Mais de 10 Anos,2 à 5 Anos,Ensino Fundamental Incompleto,Morador de Mocó,Faz Uso de Substância Psicoativa,"Crack, Álcool, Cocaína, Tabaco",Sim,Não,,
Leste,,Masculino,Parda,40 à 49 anos,Estado de São Paulo,Estado de São Paulo,1 à 2 Anos,2 à 5 Anos,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,"Álcool, Tabaco",Sim,Sim,Bolsa Família,
Leste,,Masculino,Parda,40 à 49 anos,Campinas,Campinas,Mais de 10 Anos,2 à 5 Anos,Ensino Fundamental Completo,Morador de Rua,Faz Uso de Substância Psicoativa,Crack,Sim,Sim,Bolsa Família,
Sul,Rua,LGBT (Queer),Parda,25 à 39 anos,Outro Estado,Outro Estado,5 à 10 Anos,5 à 10 Anos,Ensino Médio Completo,Morador de Rua,Faz Uso de Substância Psicoativa,"Maconha, Tabaco",Sim,Sim,,
Leste,,Masculino,Parda,25 à 39 anos,Campinas,Campinas,Mais de 10 Anos,1 à 3 Meses,Ensino Fundamental Completo,,,"Álcool, Cocaína, Tabaco",Sim,Não,,
Sul,Rua,Masculino,Preta,25 à 39 anos,Campinas,Campinas,Mais de 10 Anos,,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,"Crack, Álcool, Tabaco",Não,Não,,
Leste,,Masculino,Preta,40 à 49 anos,Campinas,Região Metropolitana de Campinas,Mais de 10 Anos,1 à 2 Anos,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,"Álcool, Maconha",Sim,Sim,Bolsa Família,
Sul,Rua,Masculino,Branca,50 à 59 anos,Estado de São Paulo,Estado de São Paulo,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,"Crack, Tabaco",Não,Não,,
Sul,Rua,Masculino,Branca,40 à 49 anos,São Paulo - Capital,Região Metropolitana de Campinas,5 à 10 Anos,5 à 10 Anos,Ensino Fundamental Incompleto,Morador de Mocó,Faz Uso de Substância Psicoativa,"Crack, Maconha, Cocaína, Tabaco",Não,Não,,
Sul,,Masculino,,25 à 39 anos,,,,,,,,,,,,
Sul,Rua,Masculino,Preta,25 à 39 anos,,,,,,Morador de Mocó,Faz Uso de Substância Psicoativa,"Crack, Álcool",Não,,,
Sul,,,,,,,,,,,,,,,,
Sul,Rua,Feminino,Preta,40 à 49 anos,Estado de São Paulo,Estado de São Paulo,5 à 10 Anos,5 à 10 Anos,Ensino Fundamental Incompleto,Morador de Mocó,Faz Uso de Substância Psicoativa,"Crack, Maconha, Tabaco",Não,Não,,
Sul,,,,,,,,,,,,,,,,
Leste,,Feminino,Preta,25 à 39 anos,Campinas,Estado de São Paulo,Mais de 10 Anos,1 à 2 Anos,Ensino Fundamental Incompleto,Morador de Rua,Suspeita de Transtorno Mental,Crack,Não,Não,,
Sul,Rua,Masculino,Parda,25 à 39 anos,Campinas,Outro Estado,Mais de 10 Anos,Mais de 10 Anos,Ensino Médio Completo,Morador de Mocó,Faz Uso de Substância Psicoativa,Crack,Não,Não,,
Sul,Rua,Feminino,Preta,25 à 39 anos,São Paulo - Capital,São Paulo - Capital,Mais de 10 Anos,5 à 10 Anos,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,"Crack, Álcool, Tabaco",Não,Sim,,
Sul,Rua,Masculino,,50 à 59 anos,Estado de São Paulo,,,,,Morador de Mocó,Faz Uso de Substância Psicoativa,Crack,Não,,,
Sul,Rua,Masculino,Preta,50 à 59 anos,Campinas,Campinas,Mais de 10 Anos,5 à 10 Anos,Ensino Fundamental Incompleto,Morador de Mocó,Faz Uso de Substância Psicoativa,"Crack, Álcool",Não,Não,,
Sul,Rua,Feminino,Branca,40 à 49 anos,Campinas,Campinas,Mais de 10 Anos,2 à 5 Anos,Ensino Fundamental Completo,Morador de Rua,Faz Uso de Substância Psicoativa,"Crack, Álcool, Tabaco",Sim,Sim,,
Leste,Centro POP 2,Feminino,Preta,25 à 39 anos,Estado de São Paulo,Estado de São Paulo,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,Álcool,Sim,Sim,Bolsa Família,
Leste,Sares,Masculino,Parda,40 à 49 anos,Estado de São Paulo,Estado de São Paulo,2 à 5 Anos,2 à 5 Anos,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,"Álcool, Tabaco",Sim,Sim,,
Leste,Centro POP II,Masculino,Branca,40 à 49 anos,Campinas,Campinas,5 à 10 Anos,5 à 10 Anos,Ensino Superior Completo,Morador de Rua,NDA,Crack,Sim,Sim,Bolsa Família,
Leste,SARES ,Masculino,Branca,40 à 49 anos,Estado de São Paulo,Estado de São Paulo,Mais de 10 Anos,1 à 3 Meses,Ensino Fundamental Completo,Morador de Rua,Faz Uso de Substância Psicoativa,"Álcool, Maconha, Tabaco",Sim,Sim,,
Sul,,Masculino,Branca,Acima de 60 anos,Campinas,Campinas,Mais de 10 Anos,5 à 10 Anos,Alfabetizado,Morador de Mocó,Faz Uso de Substância Psicoativa,"Crack, Álcool, Tabaco",Não,Não,,
Sudoeste,,Feminino,Parda,25 à 39 anos,Campinas,Campinas,Mais de 10 Anos,Mais de 10 Anos,Ensino Superior Completo,Morador de Rua,,Tabaco,Não,Não,,
Sul,Casa da Cidadania,Masculino,Branca,Acima de 60 anos,Campinas,Campinas,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Morador de Rua,NDA,,Sim,,,Aposentadoria
Sul,Casa da Cidadania,Feminino,Branca,25 à 39 anos,Campinas,Outro Estado,Mais de 10 Anos,1 dia à 1 Mês,Ensino Médio Completo,Morador de Rua,NDA,"Maconha, Cocaína",Sim,Não,,
Sul,Casa da Cidadania,Feminino,Preta,25 à 39 anos,Campinas,Campinas,Mais de 10 Anos,Mais de 10 Anos,Não Alfabetizado,Morador de Rua,NDA,Maconha,Sim,Sim,Bolsa Família,
Sul,Casa da Cidadania,Masculino,Parda,50 à 59 anos,Outro Estado,Campinas,1 à 2 Anos,1 à 2 Anos,Ensino Médio Completo,Morador de Rua,NDA,Tabaco,Sim,Sim,Bolsa Família,
Sul,Casa da Cidadania,Masculino,Parda,25 à 39 anos,São Paulo - Capital,Região Metropolitana de Campinas,1 dia à 1 Mês,1 à 2 Anos,Ensino Fundamental Completo,Morador de Rua,NDA,"Crack, Álcool, Maconha, Cocaína, Tabaco",Sim,Não,,
Sul,Casa da Cidadania,Masculino,Preta,40 à 49 anos,Outro Estado,São Paulo - Capital,1 à 2 Anos,Mais de 10 Anos,Ensino Médio Completo,Morador de Rua,NDA,"Crack, Álcool, Cocaína, Tabaco",Sim,Sim,Bolsa Família,
Sul,Casa da Cidadania,Feminino,Parda,50 à 59 anos,Outro Estado,Outro Estado,Mais de 10 Anos,2 à 5 Anos,Alfabetizado,Morador de Rua,Faz Uso de Substância Psicoativa,Álcool,Sim,Sim,Bolsa Família,
Sul,Casa da Cidadania,Masculino,Branca,25 à 39 anos,Região Metropolitana de Campinas,Região Metropolitana de Campinas,2 à 5 Anos,2 à 5 Anos,Ensino Médio Completo,Morador de Rua,NDA,"Crack, Álcool, Maconha, Cocaína, Tabaco",Sim,Não,,
Sul,Casa da Cidadania,Masculino,Parda,25 à 39 anos,Outro Estado,Região Metropolitana de Campinas,1 à 3 Meses,5 à 10 Anos,Ensino Médio Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,"Crack, Álcool, Maconha, Cocaína, Tabaco",Sim,Sim,Bolsa Família,
Sul,Casa da Cidadania,Masculino,Parda,25 à 39 anos,Região Metropolitana de Campinas,Região Metropolitana de Campinas,1 à 3 Meses,1 à 3 Meses,Ensino Médio Completo,Morador de Rua,NDA,Tabaco,Sim,Sim,Bolsa Família,
Sul,Casa da Cidadania,Masculino,Branca,25 à 39 anos,Região Metropolitana de Campinas,Região Metropolitana de Campinas,1 dia à 1 Mês,Mais de 10 Anos,Ensino Fundamental Incompleto,Morador de Rua,NDA,,Não,Não,,
Sul,Casa da Cidadania,LGBT (Queer),Branca,18 à 24 anos,São Paulo - Capital,São Paulo - Capital,Mais de 10 Anos,1 à 3 Meses,Ensino Médio Incompleto,Morador de Rua,NDA,,Sim,Sim,Bolsa Família,
Sul,Casa da Cidadania,Masculino,Parda,50 à 59 anos,Outro Estado,Região Metropolitana de Campinas,Mais de 10 Anos,1 dia à 1 Mês,Ensino Fundamental Completo,Morador de Rua,NDA,"Crack, Álcool, Tabaco",Sim,Sim,"Bolsa Família, Renda Cidadã",
Sul,Casa da Cidadania,Masculino,Parda,25 à 39 anos,Outro Estado,Região Metropolitana de Campinas,1 à 2 Anos,6 Meses à 1 Ano,Ensino Fundamental Incompleto,Morador de Rua,NDA,Tabaco,Não,Sim,Bolsa Família,
Sul,Casa da Cidadania,Feminino,Parda,25 à 39 anos,Campinas,Campinas,Mais de 10 Anos,3 à 6 Meses,Ensino Médio Completo,Morador de Rua,Faz Uso de Substância Psicoativa,"Crack, Álcool, Maconha, Cocaína, Tabaco",Sim,Não,,Pensões
Sul,Casa da Cidadania,Masculino,Parda,40 à 49 anos,Outro Estado,São Paulo - Capital,5 à 10 Anos,5 à 10 Anos,Ensino Médio Incompleto,Morador de Rua,NDA,,Sim,Sim,,
Sul,Casa da Cidadania,Masculino,Branca,25 à 39 anos,Campinas,Campinas,Mais de 10 Anos,6 Meses à 1 Ano,Ensino Fundamental Incompleto,Morador de Rua,NDA,Tabaco,Sim,Sim,Bolsa Família,
Sul,Casa da Cidadania,Masculino,Branca,Acima de 60 anos,Outro Estado,Campinas,Mais de 10 Anos,6 Meses à 1 Ano,Ensino Médio Incompleto,Morador de Rua,NDA,Tabaco,Não,Não,,
Sul,Casa da Cidadania,Feminino,Branca,40 à 49 anos,Campinas,Campinas,Mais de 10 Anos,1 à 3 Meses,Ensino Médio Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,Álcool,Sim,Sim,Bolsa Família,
Sul,Casa da Cidadania,Masculino,Preta,25 à 39 anos,Estado de São Paulo,Estado de São Paulo,Mais de 10 Anos,1 à 2 Anos,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,"Crack, Álcool, Maconha, Cocaína, Tabaco",Sim,Não,,
Sul,Casa da Cidadania,Masculino,Parda,50 à 59 anos,Campinas,Campinas,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Completo,Vive na Rua,NDA,,Sim,,,Aposentadoria
Sul,Casa da Cidadania,Feminino,Parda,25 à 39 anos,Região Metropolitana de Campinas,Região Metropolitana de Campinas,1 à 3 Meses,1 à 3 Meses,Ensino Superior Incompleto,Vive na Rua,NDA,Tabaco,Sim,,Bolsa Família,
Sul,Casa da Cidadania,Masculino,Preta,50 à 59 anos,Outro Estado,Estado de São Paulo,Mais de 10 Anos,1 à 2 Anos,Ensino Médio Completo,Vive na Rua,NDA,Maconha,Sim,Sim,Bolsa Família,
Sul,Casa da Cidadania,Masculino,Preta,25 à 39 anos,Estado de São Paulo,Estado de São Paulo,1 à 2 Anos,5 à 10 Anos,Ensino Médio Incompleto,Vive na Rua,NDA,Álcool,Sim,Sim,Bolsa Família,
Sul,Casa da Cidadania,Masculino,Parda,50 à 59 anos,Outro Estado,São Paulo - Capital,Mais de 10 Anos,2 à 5 Anos,Ensino Fundamental Incompleto,Vive na Rua,NDA,"Álcool, Tabaco",Sim,,,
Sul,Casa da Cidadania,Masculino,Parda,25 à 39 anos,Estado de São Paulo,Estado de São Paulo,1 dia à 1 Mês,3 à 6 Meses,Ensino Fundamental Incompleto,Vive na Rua,NDA,"Maconha, Cocaína, Tabaco",Sim,Sim,Bolsa Família,
Sul,Casa da Cidadania,Masculino,Preta,25 à 39 anos,Outro Estado,Outro Estado,6 Meses à 1 Ano,2 à 5 Anos,Ensino Fundamental Incompleto,Vive na Rua,NDA,"Crack, Álcool, Tabaco",Não,,,
Norte,,Masculino,Branca,50 à 59 anos,Campinas,,Mais de 10 Anos,2 à 5 Anos,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,"Álcool, Tabaco",Sim,Não,,
Norte,,Masculino,Parda,25 à 39 anos,,,,,,,,,,,,
Leste,Rua,Masculino,Parda,25 à 39 anos,Estado de São Paulo,Estado de São Paulo,2 à 5 Anos,2 à 5 Anos,Ensino Médio Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,Álcool,Sim,,,
Leste,Rua,Masculino,Parda,25 à 39 anos,Campinas,Campinas,2 à 5 Anos,2 à 5 Anos,Ensino Fundamental Incompleto,Morador de Rua,Pessoa Com Deficiência,Álcool,Não,,,
Leste,Rua,Masculino,Branca,18 à 24 anos,Outro Estado,Outro Estado,3 à 6 Meses,1 à 2 Anos,Ensino Médio Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,"Crack, Álcool, Maconha, Cocaína, Tabaco",Não,,,
Leste,Rua,Masculino,Parda,25 à 39 anos,Estado de São Paulo,Estado de São Paulo,Mais de 10 Anos,2 à 5 Anos,Não Alfabetizado,Morador de Rua,,"Crack, Álcool, Maconha, Tabaco",Sim,Sim,Bolsa Família,
Sul,Rua,Masculino,Parda,25 à 39 anos,Campinas,Região Metropolitana de Campinas,5 à 10 Anos,2 à 5 Anos,Ensino Superior Incompleto,Morador de Rua,,"Álcool, Tabaco",Sim,Sim,Bolsa Família,
Sul,Rua,Feminino,Branca,25 à 39 anos,Estado de São Paulo,Região Metropolitana de Campinas,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Morador de Mocó,Faz Uso de Substância Psicoativa,"Crack, Tabaco",Sim,Não,,
Leste,Rua,Masculino,Preta,40 à 49 anos,Estado de São Paulo,Estado de São Paulo,Mais de 10 Anos,1 dia à 1 Mês,Ensino Superior Incompleto,Morador de Rua,"Pessoa Com Deficiência, Faz Uso de Substância Psicoativa",Álcool,Sim,Não,,
Leste,Rua,Masculino,Parda,50 à 59 anos,Outro Estado,,5 à 10 Anos,5 à 10 Anos,Ensino Fundamental Incompleto,Morador de Rua,"Suspeita de Transtorno Mental, Faz Uso de Substância Psicoativa",Álcool,Sim,,,
Sul,Rua,Masculino,Parda,25 à 39 anos,Campinas,Campinas,Mais de 10 Anos,5 à 10 Anos,Ensino Superior Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,"Crack, Álcool, Maconha, Cocaína, Tabaco",Sim,Sim,Bolsa Família,
,Rua,Masculino,Branca,25 à 39 anos,Campinas,Estado de São Paulo,Mais de 10 Anos,2 à 5 Anos,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,"Crack, Cocaína, Tabaco",Não,Não,,
,Rua,Masculino,,50 à 59 anos,,,,,,,,Crack,,,,
Noroeste,Rua,,,,,,,,,,,Crack,,,,
Noroeste,,Masculino,Amarela,50 à 59 anos,Estado de São Paulo,Campinas,Mais de 10 Anos,Mais de 10 Anos,Não Alfabetizado,Vive na Rua,,Crack,Sim,Sim,Bolsa Família,
Noroeste,Rua,Masculino,Branca,40 à 49 anos,Estado de São Paulo,Campinas,2 à 5 Anos,2 à 5 Anos,Ensino Médio Completo,Morador de Rua,Faz Uso de Substância Psicoativa,Álcool,Sim,Sim,Bolsa Família,
Leste,Rua,Masculino,Branca,,,,,,,,,,,,,
Leste,Rua,Masculino,Branca,40 à 49 anos,Outro Estado,Estado de São Paulo,3 à 6 Meses,1 à 3 Meses,Não Alfabetizado,Migrante,NDA,Tabaco,Não,Sim,,
Leste,,Feminino,Preta,40 à 49 anos,Estado de São Paulo,Estado de São Paulo,5 à 10 Anos,5 à 10 Anos,Alfabetizado,Morador de Rua,Faz Uso de Substância Psicoativa,"Crack, Álcool, Maconha, Tabaco",Sim,Sim,Bolsa Família,
Leste,,Masculino,Preta,25 à 39 anos,Outro Estado,Outro Estado,5 à 10 Anos,5 à 10 Anos,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,Álcool,Sim,Não,,
Leste,Rua,Masculino,,25 à 39 anos,Campinas,Campinas,Mais de 10 Anos,1 à 2 Anos,Ensino Médio Completo,Morador de Rua,NDA,,Não,Não,,
Leste,Rua,Masculino,Preta,,,,,,,Morador de Rua,,,,,,
Leste,Rua,,,,,,,,,Morador de Rua,,,,,,
Leste,Rua,Masculino,,,Estado de São Paulo,Estado de São Paulo,Mais de 10 Anos,2 à 5 Anos,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,Álcool,Sim,Não,,
Leste,Rua,Masculino,,50 à 59 anos,Outro Estado,Outro Estado,Mais de 10 Anos,Mais de 10 Anos,Ensino Médio Completo,Morador de Rua,Faz Uso de Substância Psicoativa,Álcool,Sim,,,Aposentadoria
Leste,Rua,Feminino,Branca,,,,,,,Morador de Rua,Suspeita de Transtorno Mental,,,,,
,,Masculino,Preta,40 à 49 anos,,,,,,,Suspeita de Transtorno Mental,,,,,
,Rua,Masculino,Branca,50 à 59 anos,Região Metropolitana de Campinas,Estado de São Paulo,1 à 2 Anos,1 à 2 Anos,Ensino Fundamental Incompleto,Vive na Rua,,"Álcool, Tabaco",Sim,Não,,
,Rua,Masculino,,25 à 39 anos,São Paulo - Capital,São Paulo - Capital,2 à 5 Anos,2 à 5 Anos,Ensino Fundamental Incompleto,Morador de Rua,"Suspeita de Transtorno Mental, Faz Uso de Substância Psicoativa",Maconha,Sim,Não,,
Sudoeste,Rua,,,25 à 39 anos,,,,,,Morador de Rua,,,,,,
Sudoeste,Rua,Masculino,Parda,50 à 59 anos,Outro Estado,Outro Estado,Mais de 10 Anos,2 à 5 Anos,Não Alfabetizado,Morador de Rua,Faz Uso de Substância Psicoativa,Álcool,Sim,Não,,
Noroeste,Rua,Masculino,Parda,25 à 39 anos,Campinas,Campinas,Mais de 10 Anos,,Ensino Fundamental Incompleto,Munícipe,NDA,"Crack, Maconha, Cocaína",Sim,Não,,
Noroeste,Rua,Masculino,Preta,25 à 39 anos,Outro Estado,,3 à 6 Meses,3 à 6 Meses,,Morador de Rua,Suspeita de Transtorno Mental,"Álcool, Maconha, Cocaína, Tabaco, Cigarro",Não,,,
Noroeste,Rua,LGBT (Queer),Preta,,,,,,,Morador de Rua,,,,,,
Noroeste,Rua,Masculino,Parda,40 à 49 anos,Campinas,Campinas,Mais de 10 Anos,,Ensino Superior Incompleto,Munícipe,NDA,"Crack, Álcool, Maconha, Cocaína, Tabaco, Qualquer coisa que dê brisa",,,,
Noroeste,Rua,Masculino,Preta,25 à 39 anos,Outro Estado,Região Metropolitana de Campinas,1 à 2 Anos,1 à 2 Anos,Ensino Médio Incompleto,Vive na Rua,NDA,"Crack, Álcool, Maconha",Não,Não,,
Sul,Rua,Feminino,Preta,40 à 49 anos,São Paulo - Capital,São Paulo - Capital,Mais de 10 Anos,6 Meses à 1 Ano,Ensino Fundamental Incompleto,Morador de Rua,,"Álcool, cigarro",Sim,Não,Bolsa Família,
Sul,Rua,Masculino,Parda,40 à 49 anos,,,,,,Morador de Rua,,,,,,
Sul,Rua,Masculino,Branca,50 à 59 anos,,,,,,Morador de Rua,,,,,,
Leste,Rua,Masculino,Branca,Acima de 60 anos,Campinas,Campinas,Mais de 10 Anos,5 à 10 Anos,,,Suspeita de Transtorno Mental,Álcool,Não,,,
Norte,Rua,Masculino,Parda,40 à 49 anos,Outro Estado,,5 à 10 Anos,,Ensino Fundamental Incompleto,Itinerante,Faz Uso de Substância Psicoativa,Álcool,Sim,Não,,
Leste,,Masculino,,,Estado de São Paulo,Estado de São Paulo,Mais de 10 Anos,,,Comodo,,,Sim,Sim,,
Norte,SAMIM,Masculino,Preta,25 à 39 anos,Outro Estado,Região Metropolitana de Campinas,1 dia à 1 Mês,1 dia à 1 Mês,Ensino Fundamental Incompleto,Casa Própria,NDA,Tabaco,Sim,Não,,
,,Masculino,Indígena,25 à 39 anos,,,,,,Morador de Rua,,,,,,
Leste,Rua,Masculino,Branca,50 à 59 anos,Outro Estado,Campinas,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Ex Morador de Rua,NDA,,Sim,Sim,BPC,
Leste,Rua,Masculino,Parda,25 à 39 anos,,,,3 à 6 Meses,Ensino Médio Completo,Pensão,,,Sim,Não,,
Noroeste,,LGBT (Queer),Parda,18 à 24 anos,Outro Estado,Campinas,2 à 5 Anos,2 à 5 Anos,Ensino Fundamental Incompleto,Morador de Mocó,Faz Uso de Substância Psicoativa,"Crack, Álcool",Sim,Sim,Bolsa Família,
Noroeste,,Masculino,,40 à 49 anos,Campinas,Campinas,Mais de 10 Anos,2 à 5 Anos,Ensino Fundamental Incompleto,Morador de Mocó,Faz Uso de Substância Psicoativa,"Crack, Álcool, Tabaco",Sim,Não,,
Noroeste,,Masculino,,25 à 39 anos,Campinas,Campinas,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Morador de Rua,"Suspeita de Transtorno Mental, Faz Uso de Substância Psicoativa","Crack, Álcool, Cocaína, Tabaco",Não,Sim,Bolsa Família,
Noroeste,,Masculino,,,Outro Estado,,1 à 2 Anos,6 Meses à 1 Ano,Ensino Médio Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,"Crack, Tabaco",Sim,Não,,
Noroeste,,Masculino,Parda,25 à 39 anos,,Campinas,Mais de 10 Anos,2 à 5 Anos,Ensino Médio Completo,Morador de Rua,Faz Uso de Substância Psicoativa,Álcool,Sim,Sim,Bolsa Família,
Noroeste,,Masculino,Preta,18 à 24 anos,Outro Estado,Campinas,2 à 5 Anos,3 à 6 Meses,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,"Crack, Maconha, Tabaco",Não,Não,Bolsa Família,
Sul,Casa da Cidadania,Masculino,,,,,,,,,,,,,,
Leste,Rua,Feminino,Branca,40 à 49 anos,Estado de São Paulo,Estado de São Paulo,5 à 10 Anos,2 à 5 Anos,Ensino Fundamental Completo,Morador de Rua,Faz Uso de Substância Psicoativa,"Crack, Álcool",Sim,,,
Leste,Rua,Masculino,Preta,40 à 49 anos,Campinas,Estado de São Paulo,Mais de 10 Anos,2 à 5 Anos,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,"Álcool, Tabaco",Sim,,,
Leste,Rua,Masculino,Preta,50 à 59 anos,São Paulo - Capital,Estado de São Paulo,Mais de 10 Anos,Mais de 10 Anos,Ensino Médio Completo,Pensão,Faz Uso de Substância Psicoativa,"Crack, Álcool, Cocaína, Tabaco",Sim,Sim,Bolsa Família,
Leste,,Masculino,Parda,50 à 59 anos,São Paulo - Capital,Estado de São Paulo,,,,,,,,,,
Norte,,Feminino,,18 à 24 anos,Campinas,Campinas,Mais de 10 Anos,1 à 2 Anos,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,Crack,Não,Não,,
Norte,,Masculino,Branca,25 à 39 anos,Estado de São Paulo,Estado de São Paulo,3 à 6 Meses,Mais de 10 Anos,Ensino Fundamental Completo,Itinerante,Faz Uso de Substância Psicoativa,"Crack, Maconha, Cocaína, Tabaco",Não,Não,,
Norte,,Masculino,Branca,40 à 49 anos,Campinas,Campinas,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Morador de Mocó,Faz Uso de Substância Psicoativa,Álcool,Não,Sim,Bolsa Família,
Norte,,Masculino,Branca,25 à 39 anos,Estado de São Paulo,Estado de São Paulo,1 à 2 Anos,1 à 2 Anos,Ensino Médio Completo,Morador de Mocó,Faz Uso de Substância Psicoativa,Crack,Não,Não,,
Norte,,Masculino,Parda,18 à 24 anos,Campinas,Estado de São Paulo,1 à 2 Anos,2 à 5 Anos,Ensino Médio Incompleto,Vive na Rua,Faz Uso de Substância Psicoativa,Crack,Não,Não,,
Norte,,Masculino,,25 à 39 anos,,,,,,Morador de Mocó,Faz Uso de Substância Psicoativa,Crack,,,,
